iter	Passed	Remaining
0	2	2792
1	5	2726
2	8	2706
3	10	2731
4	13	2714
5	16	2725
6	19	2738
7	21	2715
8	24	2719
9	27	2724
10	30	2721
11	33	2728
12	35	2729
13	38	2726
14	41	2729
15	44	2716
16	47	2726
17	49	2720
18	52	2727
19	55	2721
20	58	2720
21	61	2715
22	63	2707
23	66	2711
24	69	2710
25	72	2709
26	75	2710
27	77	2706
28	80	2703
29	83	2703
30	86	2707
31	89	2716
32	92	2711
33	95	2710
34	98	2705
35	105	2830
36	110	2884
37	113	2873
38	116	2867
39	119	2858
40	121	2852
41	124	2847
42	127	2839
43	130	2832
44	133	2829
45	136	2821
46	138	2813
47	141	2809
48	146	2836
49	148	2829
50	151	2821
51	154	2818
52	157	2818
53	160	2812
54	163	2808
55	166	2803
56	169	2797
57	171	2791
58	174	2788
59	177	2783
60	180	2778
61	183	2773
62	186	2770
63	189	2765
64	191	2759
65	194	2753
66	197	2750
67	200	2744
68	203	2741
69	205	2735
70	208	2730
71	211	2726
72	214	2718
73	216	2713
74	219	2708
75	222	2703
76	225	2698
77	227	2692
78	230	2687
79	233	2682
80	236	2678
81	238	2673
82	241	2670
83	244	2665
84	247	2662
85	250	2658
86	252	2654
87	255	2650
88	258	2648
89	261	2645
90	264	2641
91	267	2637
92	270	2635
93	273	2631
94	275	2628
95	278	2625
96	281	2623
97	284	2619
98	287	2615
99	290	2612
100	292	2607
101	295	2604
102	298	2600
103	301	2598
104	306	2613
105	314	2650
106	318	2657
107	325	2692
108	332	2717
109	336	2721
110	339	2715
111	341	2709
112	344	2703
113	347	2698
114	349	2692
115	352	2687
116	355	2683
117	358	2678
118	360	2671
119	363	2665
120	366	2659
121	368	2654
122	371	2649
123	374	2644
124	377	2640
125	379	2635
126	382	2630
127	385	2626
128	388	2622
129	391	2617
130	393	2613
131	396	2608
132	399	2604
133	402	2600
134	405	2595
135	409	2598
136	412	2599
137	415	2593
138	418	2590
139	420	2586
140	423	2582
141	426	2576
142	429	2572
143	432	2568
144	434	2564
145	437	2560
146	440	2556
147	443	2551
148	446	2548
149	448	2543
150	451	2540
151	454	2536
152	457	2532
153	460	2529
154	463	2525
155	466	2521
156	468	2517
157	471	2513
158	474	2509
159	477	2508
160	480	2505
161	483	2500
162	486	2496
163	488	2491
164	491	2488
165	494	2483
166	497	2483
167	501	2484
168	508	2502
169	513	2507
170	516	2502
171	518	2498
172	521	2494
173	524	2490
174	527	2485
175	529	2480
176	532	2476
177	535	2472
178	538	2469
179	541	2465
180	544	2462
181	547	2458
182	549	2454
183	552	2451
184	555	2447
185	558	2444
186	561	2440
187	564	2436
188	566	2432
189	569	2427
190	572	2424
191	575	2420
192	577	2416
193	580	2412
194	583	2409
195	586	2406
196	589	2402
197	591	2397
198	594	2393
199	597	2390
200	600	2386
201	605	2390
202	607	2385
203	610	2382
204	613	2378
205	616	2374
206	618	2371
207	621	2368
208	624	2364
209	627	2361
210	630	2357
211	633	2354
212	636	2351
213	639	2347
214	642	2344
215	644	2340
216	647	2337
217	650	2333
218	653	2329
219	656	2326
220	659	2322
221	661	2319
222	664	2316
223	667	2312
224	670	2309
225	673	2306
226	676	2302
227	678	2298
228	681	2295
229	684	2291
230	687	2287
231	690	2284
232	692	2281
233	695	2277
234	699	2278
235	703	2278
236	709	2283
237	712	2280
238	715	2276
239	717	2273
240	720	2269
241	723	2266
242	726	2261
243	728	2257
244	731	2254
245	734	2250
246	737	2246
247	739	2243
248	742	2239
249	745	2236
250	748	2232
251	750	2228
252	753	2225
253	756	2221
254	759	2217
255	761	2213
256	764	2210
257	767	2206
258	769	2202
